trade_date,sentiment,total_trades,total_volume_usd,avg_trade_size,total_pnl,avg_pnl,pnl_std
2024-06-02,Greed,93,29464.51,316.822688172043,192.906947,2.074268247311828,4.425015055071825
2024-06-03,Greed,70,21466.86,306.66942857142857,562.808208,8.040117257142859,11.849209775400267
2024-06-04,Greed,53,24243.41,457.42283018867926,52.211438,0.9851214716981133,2.4828445149485265
2024-06-05,Greed,54,25350.77,469.4587037037037,56.055506,1.038064925925926,2.9096994557928553
2024-06-06,Greed,234,137557.76,587.8536752136753,274.173187,1.1716802863247862,3.3659483181601715
2024-06-07,Greed,440,1098588.76,2496.7926363636366,8902.467416,20.23288049090909,103.25220050843622
2024-06-08,Greed,29,97351.88,3356.961379310345,129.13883900000002,4.453063413793104,13.610694021064663
2024-06-09,Greed,17,22410.22,1318.2482352941176,0.0,0.0,0.0
2024-06-10,Greed,53,46587.93,879.0175471698113,31.266804999999998,0.589939716981132,1.9665257227845954
2024-06-11,Greed,123,373279.92,3034.7960975609753,4320.631811,35.12708789430894,169.7310786091785
2024-06-12,Greed,254,193407.96,761.4486614173228,-21886.531493,-86.16744682283463,276.1864377273308
2024-06-13,Greed,79,132577.22,1678.1926582278481,6632.757115,83.95895082278481,192.75704215520875
2024-06-14,Greed,31,139868.66,4511.892258064517,10258.592609,330.9223422258064,997.7044158485279
2024-06-15,Greed,78,718350.25,9209.61858974359,3369.958346,43.20459417948718,86.67556232059664
2024-06-16,Greed,11,25235.079999999998,2294.0981818181817,0.0,0.0,0.0
2024-06-17,Greed,38,368380.12,9694.213684210526,10599.502375,278.9342730263158,315.144564194019
2024-06-18,Greed,25,263314.79,10532.5916,282.57636,11.3030544,29.448076746454035
2024-06-19,Greed,61,417071.12,6837.231475409836,4887.656944,80.12552367213115,180.97142293583357
2024-06-20,Greed,39,207990.8,5333.097435897435,57478.456026,1473.8065647692308,4202.023348756396
2024-06-21,Greed,80,176264.49,2203.306125,773.5582039999999,9.66947755,54.6582097931937
2024-06-22,Greed,24,169594.27000000002,7066.427916666667,756.876565,31.536523541666668,65.30392406982597
2024-06-23,Greed,5,1792.12,358.424,0.0,0.0,0.0
2024-06-24,Greed,31,403002.8,13000.090322580645,0.0,0.0,0.0
2024-06-25,Fear,49,103099.08,2104.062857142857,4869.353105,99.3745531632653,242.73329860014363
2024-06-26,Greed,72,365190.66000000003,5072.092500000001,4197.732182,58.30183586111111,181.6926720751968
2024-06-27,Fear,30,130486.95,4349.565,0.0,0.0,0.0
2024-06-29,Fear,75,280095.11,3734.6014666666665,6150.326145,82.0043486,179.89968807670226
2024-06-30,Greed,14,30520.69,2180.049285714286,0.0,0.0,0.0
2024-07-01,Greed,64,362670.14999999997,5666.721093749999,5065.839308,79.1537391875,207.33447463371925
